frame_index,target_id,bbox_left,bbox_top,bbox_width,bbox_height,score,object_category,time
67,3,326.003,610.999,135.002,108.000,1,1,2.233
68,2,272.794,342.202,171.597,151.200,1,1,2.267
68,3,323.994,605.498,133.504,113.501,1,1,2.267
69,2,271.795,321.199,171.597,151.200,1,1,2.300
69,3,326.003,599.998,132.006,119.002,1,1,2.300
70,2,271.398,315.202,171.597,151.200,1,1,2.333
70,3,326.003,587.002,132.006,131.998,1,1,2.333
71,2,272.397,315.403,171.597,151.200,1,1,2.367
71,3,326.003,579.002,132.006,131.998,1,1,2.367
72,2,273.395,302.998,171.597,151.200,1,1,2.400
72,3,326.003,569.002,132.006,131.998,1,1,2.400
73,2,275.405,286.999,171.597,151.200,1,1,2.433
73,3,326.195,559.202,132.006,131.998,1,1,2.433
74,2,278.899,289.800,171.597,151.200,1,1,2.467
74,3,326.400,553.147,132.006,131.998,1,1,2.467
75,2,272.397,271.598,171.597,151.200,1,1,2.500
75,3,326.605,547.099,132.006,131.998,1,1,2.500
76,2,270.400,265.601,171.597,151.200,1,1,2.533
76,3,326.797,541.051,132.006,131.998,1,1,2.533
77,2,272.205,263.599,171.597,151.200,1,1,2.567
77,3,327.002,535.003,132.006,131.998,1,1,2.567
78,2,271.398,241.798,171.597,151.200,1,1,2.600
78,3,328.998,520.999,132.006,131.998,1,1,2.600
79,2,277.402,236.599,171.597,151.200,1,1,2.633
79,3,329.664,513.000,132.006,131.998,1,1,2.633
80,2,274.394,242.597,171.597,151.200,1,1,2.667
80,3,330.330,505.001,132.006,131.998,1,1,2.667
81,2,276.595,221.602,171.597,151.200,1,1,2.700
81,3,330.995,497.002,132.006,131.998,1,1,2.700
82,2,272.499,209.102,171.597,151.200,1,1,2.733
82,3,330.995,494.503,132.006,131.998,1,1,2.733
83,2,269.402,208.598,171.597,151.200,1,1,2.767
83,3,330.995,491.998,132.006,131.998,1,1,2.767
84,2,276.403,190.397,171.597,151.200,1,1,2.800
84,3,331.328,469.663,132.006,131.998,1,1,2.800
85,2,275.405,190.202,171.597,151.200,1,1,2.833
85,3,331.661,463.831,132.006,131.998,1,1,2.833
86,2,276.800,180.799,171.597,151.200,1,1,2.867
86,3,331.994,457.999,132.006,131.998,1,1,2.867
87,2,274.995,168.199,171.597,151.200,1,1,2.900
87,3,331.994,444.002,132.006,131.998,1,1,2.900
88,2,277.504,154.598,171.597,151.200,1,1,2.933
88,3,331.994,437.998,132.006,131.998,1,1,2.933
89,2,277.005,158.998,171.597,151.200,1,1,2.967
89,3,330.330,428.666,132.006,131.998,1,1,2.967
90,2,281.997,151.999,171.597,139.198,1,1,3.000
90,3,328.666,419.335,132.006,131.998,1,1,3.000
91,2,273.997,140.501,168.602,124.200,1,1,3.033
91,3,327.002,409.997,132.006,131.998,1,1,3.033
92,2,272.998,139.003,175.603,139.198,1,1,3.067
92,3,327.002,400.997,132.006,131.998,1,1,3.067
93,2,276.339,115.999,175.270,160.999,1,1,3.100
93,3,327.002,391.997,132.006,131.998,1,1,3.100
94,2,276.339,105.998,175.270,160.999,1,1,3.133
94,3,327.002,384.998,132.006,131.998,1,1,3.133
95,2,275.827,96.998,167.270,157.003,1,1,3.167
95,3,327.002,372.002,132.006,131.998,1,1,3.167
96,2,275.328,79.999,175.270,160.999,1,1,3.200
96,3,327.002,358.999,132.006,131.998,1,1,3.200
97,2,275.328,75.499,175.270,160.999,1,1,3.233
97,3,328.000,355.003,132.006,131.998,1,1,3.233
98,2,275.328,70.999,175.270,160.999,1,1,3.267
98,3,328.998,348.502,132.006,131.998,1,1,3.267
99,2,275.328,56.002,175.270,160.999,1,1,3.300
99,3,329.997,342.000,132.006,131.998,1,1,3.300
100,2,275.328,41.998,175.270,160.999,1,1,3.333
100,3,323.994,331.999,132.006,131.998,1,1,3.333
101,2,275.328,42.998,175.270,160.999,1,1,3.367
101,3,327.667,321.998,132.006,131.998,1,1,3.367
102,2,275.328,33.502,175.270,160.999,1,1,3.400
102,3,331.328,311.998,132.006,131.998,1,1,3.400
103,2,275.328,23.998,175.270,160.999,1,1,3.433
103,3,335.002,301.997,132.006,131.998,1,1,3.433
104,2,274.330,12.499,175.270,160.999,1,1,3.467
104,3,335.002,295.999,132.006,131.998,1,1,3.467
105,2,273.331,1.001,175.270,160.999,1,1,3.500
105,3,335.002,290.002,132.006,131.998,1,1,3.500
106,2,273.331,1.001,175.270,153.000,1,1,3.533
106,3,336.000,273.002,132.006,131.998,1,1,3.533
107,2,273.331,1.001,175.270,145.001,1,1,3.567
107,3,333.504,269.503,132.006,131.998,1,1,3.567
108,2,273.331,1.001,175.270,137.002,1,1,3.600
108,3,330.995,265.997,132.006,131.998,1,1,3.600
109,2,273.331,1.001,175.270,129.002,1,1,3.633
109,3,327.002,254.002,132.006,131.998,1,1,3.633
110,2,273.331,1.001,170.765,118.498,1,1,3.667
110,3,327.002,246.002,132.006,131.998,1,1,3.667
111,2,273.331,1.001,166.272,108.000,1,1,3.700
111,3,327.002,238.003,132.006,131.998,1,1,3.700
111,4,560.998,640.001,145.997,77.998,1,1,3.700
112,2,273.331,1.001,166.272,100.332,1,1,3.733
112,3,327.002,226.001,132.006,131.998,1,1,3.733
112,4,560.998,634.334,145.997,83.664,1,1,3.733
113,2,273.331,1.001,166.272,92.664,1,1,3.767
113,3,328.000,217.498,132.006,131.998,1,1,3.767
113,4,560.998,628.668,145.997,89.330,1,1,3.767
114,2,273.331,1.001,166.272,85.003,1,1,3.800
114,3,328.998,209.002,132.006,131.998,1,1,3.800
114,4,560.998,623.002,145.997,94.997,1,1,3.800
115,2,273.331,1.001,166.272,70.999,1,1,3.833
115,3,328.998,203.998,132.006,131.998,1,1,3.833
115,4,560.998,615.002,145.997,103.003,1,1,3.833
116,3,329.997,192.002,132.006,131.998,1,1,3.867
116,4,560.998,606.002,145.997,112.003,1,1,3.867
117,3,330.995,180.000,132.006,131.998,1,1,3.900
117,4,560.998,597.002,145.997,121.003,1,1,3.900
118,3,328.000,172.001,132.006,131.998,1,1,3.933
118,4,560.998,590.998,145.997,128.002,1,1,3.933
119,3,325.504,164.498,132.006,131.998,1,1,3.967
119,4,561.498,579.499,145.997,138.002,1,1,3.967
120,3,322.995,157.003,132.006,131.998,1,1,4.000
120,4,561.997,568.001,145.997,148.003,1,1,4.000
121,3,326.003,145.001,132.006,131.998,1,1,4.033
121,4,561.997,561.002,145.997,148.003,1,1,4.033
122,3,325.005,141.998,132.006,131.998,1,1,4.067
122,4,561.997,556.999,145.997,148.003,1,1,4.067
123,3,323.994,139.003,132.006,131.998,1,1,4.100
123,4,561.997,553.003,145.997,148.003,1,1,4.100
124,3,323.994,123.998,132.006,131.998,1,1,4.133
124,4,561.997,537.998,145.997,148.003,1,1,4.133
125,3,323.994,119.002,132.006,131.998,1,1,4.167
125,4,562.995,525.499,145.997,148.003,1,1,4.167
126,3,325.005,99.000,132.006,131.998,1,1,4.200
126,4,563.994,513.000,145.997,148.003,1,1,4.200
127,3,325.005,91.001,132.006,131.998,1,1,4.233
127,4,562.995,505.663,145.997,148.003,1,1,4.233
128,3,327.002,91.001,132.006,131.998,1,1,4.267
128,4,561.997,505.332,145.997,148.003,1,1,4.267
129,3,325.005,75.002,132.006,131.998,1,1,4.300
129,4,560.998,490.997,145.997,148.003,1,1,4.300
130,3,325.005,73.001,132.006,131.998,1,1,4.333
130,4,560.998,482.998,145.997,148.003,1,1,4.333
131,3,325.005,70.999,132.006,131.998,1,1,4.367
131,4,561.498,477.000,145.997,148.003,1,1,4.367
132,3,327.002,48.002,132.006,131.998,1,1,4.400
132,4,561.997,463.003,145.997,148.003,1,1,4.400
133,3,327.002,43.999,132.006,131.998,1,1,4.433
133,4,562.330,455.998,145.997,148.003,1,1,4.433
134,3,325.005,43.999,132.006,131.998,1,1,4.467
134,4,562.662,454.003,145.997,148.003,1,1,4.467
135,3,323.994,22.997,132.006,131.998,1,1,4.500
135,4,562.995,442.001,145.997,148.003,1,1,4.500
136,3,323.994,19.001,132.006,131.998,1,1,4.533
136,4,561.997,427.997,145.997,148.003,1,1,4.533
137,3,323.494,10.001,132.006,131.998,1,1,4.567
137,4,561.498,427.003,145.997,148.003,1,1,4.567
138,3,322.995,1.001,132.006,131.998,1,1,4.600
138,4,560.998,409.997,145.997,148.003,1,1,4.600
139,3,322.995,1.001,132.006,125.669,1,1,4.633
139,4,562.330,402.336,145.997,148.003,1,1,4.633
139,5,621.005,655.999,122.995,63.000,1,1,4.633
140,3,322.995,1.001,132.006,119.333,1,1,4.667
140,4,563.661,400.666,145.997,148.003,1,1,4.667
141,3,322.995,1.001,132.006,112.997,1,1,4.700
141,4,565.005,387.000,145.997,148.003,1,1,4.700
142,3,322.995,1.001,132.006,105.998,1,1,4.733
142,4,565.005,379.001,145.997,148.003,1,1,4.733
142,5,621.005,637.999,122.995,81.000,1,1,4.733
143,3,322.995,1.001,132.006,99.000,1,1,4.767
143,4,565.005,371.002,145.997,148.003,1,1,4.767
144,3,322.995,1.001,132.006,83.002,1,1,4.800
144,4,565.005,363.002,145.997,148.003,1,1,4.800
144,5,621.005,613.001,122.995,105.998,1,1,4.800
145,3,322.995,1.001,132.006,74.002,1,1,4.833
145,4,562.995,352.001,145.997,148.003,1,1,4.833
146,3,322.995,1.001,132.006,66.002,1,1,4.867
146,4,561.997,350.503,145.997,148.003,1,1,4.867
146,5,623.002,612.000,120.998,106.999,1,1,4.867
147,3,322.995,1.001,132.006,58.003,1,1,4.900
147,4,562.995,335.002,145.997,148.003,1,1,4.900
147,5,623.002,589.003,120.998,130.003,1,1,4.900
148,3,322.995,1.001,132.006,52.668,1,1,4.933
148,4,562.995,328.666,145.997,148.003,1,1,4.933
148,5,623.002,586.001,120.998,130.003,1,1,4.933
149,3,322.995,1.001,132.006,47.333,1,1,4.967
149,4,562.995,322.337,145.997,148.003,1,1,4.967
149,5,623.501,577.498,120.998,130.003,1,1,4.967
150,3,322.995,1.001,132.006,41.998,1,1,5.000
150,4,562.995,316.001,145.997,148.003,1,1,5.000
150,5,624.000,569.002,120.998,130.003,1,1,5.000
151,4,562.995,301.997,145.997,148.003,1,1,5.033
151,5,623.002,564.998,120.998,130.003,1,1,5.033
152,4,562.995,292.003,145.997,148.003,1,1,5.067
152,5,622.003,550.001,120.998,130.003,1,1,5.067
153,4,562.995,282.002,145.997,148.003,1,1,5.100
153,5,621.005,535.003,120.998,130.003,1,1,5.100
154,4,562.995,272.002,145.997,148.003,1,1,5.133
154,5,619.994,532.001,120.998,130.003,1,1,5.133
155,4,562.995,263.498,145.997,148.003,1,1,5.167
155,5,619.994,525.499,120.998,130.003,1,1,5.167
156,4,562.995,255.002,145.997,148.003,1,1,5.200
156,5,619.994,518.998,120.998,130.003,1,1,5.200
157,4,562.995,248.998,145.997,148.003,1,1,5.233
157,5,619.994,508.003,120.998,130.003,1,1,5.233
158,4,563.994,238.997,145.997,148.003,1,1,5.267
158,5,619.994,499.997,120.998,130.003,1,1,5.267
159,4,565.005,229.003,145.997,148.003,1,1,5.300
159,5,619.994,491.998,120.998,130.003,1,1,5.300
160,4,565.005,218.002,145.997,148.003,1,1,5.333
160,5,619.994,481.003,120.998,130.003,1,1,5.333
161,4,559.501,214.999,145.997,148.003,1,1,5.367
161,5,620.506,472.003,120.998,130.003,1,1,5.367
162,4,555.994,200.002,145.997,148.003,1,1,5.400
162,5,621.005,463.003,120.998,130.003,1,1,5.400
163,4,555.994,193.003,145.997,148.003,1,1,5.433
163,5,621.005,450.000,120.998,130.003,1,1,5.433
163,6,561.997,655.999,136.998,63.000,1,1,5.433
164,4,556.506,186.502,145.997,148.003,1,1,5.467
164,5,621.005,446.998,120.998,130.003,1,1,5.467
164,6,561.997,646.502,136.998,72.497,1,1,5.467
165,4,557.005,180.000,145.997,148.003,1,1,5.500
165,5,621.005,444.002,120.998,130.003,1,1,5.500
165,6,561.997,636.998,136.998,82.001,1,1,5.500
166,4,558.003,166.997,145.997,148.003,1,1,5.533
166,5,617.997,428.998,120.998,130.003,1,1,5.533
166,6,561.997,630.000,139.994,88.999,1,1,5.533
167,4,557.005,159.502,145.997,148.003,1,1,5.567
167,5,618.496,418.997,120.998,130.003,1,1,5.567
167,6,561.997,621.000,137.498,97.999,1,1,5.567
168,4,555.994,146.002,145.997,148.003,1,1,5.600
168,5,618.995,409.003,120.998,130.003,1,1,5.600
168,6,561.997,612.000,135.002,106.999,1,1,5.600
169,4,557.005,139.666,145.997,148.003,1,1,5.633
169,5,618.995,405.000,120.998,130.003,1,1,5.633
169,6,561.997,606.334,135.002,106.999,1,1,5.633
170,4,558.003,133.337,145.997,148.003,1,1,5.667
170,5,618.995,394.999,120.998,130.003,1,1,5.667
170,6,561.997,603.670,135.002,115.999,1,1,5.667
171,4,559.002,127.001,145.997,148.003,1,1,5.700
171,5,618.995,384.998,120.998,130.003,1,1,5.700
171,6,561.997,595.001,135.002,106.999,1,1,5.700
172,4,554.995,115.999,145.997,148.003,1,1,5.733
172,5,618.995,378.000,120.998,130.003,1,1,5.733
172,6,561.997,591.998,135.002,110.002,1,1,5.733
173,4,554.995,108.497,145.997,148.003,1,1,5.767
173,5,619.494,366.502,120.998,130.003,1,1,5.767
173,6,562.752,580.190,135.002,123.998,1,1,5.767
174,4,554.995,101.002,145.997,148.003,1,1,5.800
174,5,619.994,355.003,120.998,130.003,1,1,5.800
174,6,563.507,568.382,135.002,114.970,1,1,5.800
175,4,555.443,92.448,145.997,148.003,1,1,5.833
175,5,619.891,346.723,120.998,130.003,1,1,5.833
175,6,563.392,560.383,135.002,114.696,1,1,5.833
176,4,555.891,87.062,145.997,148.003,1,1,5.867
176,5,619.776,343.447,120.998,130.003,1,1,5.867
176,6,563.290,558.382,135.002,114.422,1,1,5.867
177,4,556.339,74.686,145.997,148.003,1,1,5.900
177,5,619.661,334.858,120.998,130.003,1,1,5.900
177,6,563.174,550.008,135.002,114.142,1,1,5.900
178,4,556.774,62.777,145.997,148.003,1,1,5.933
178,6,564.058,529.632,135.002,113.868,1,1,5.933
179,4,557.222,58.363,145.997,148.003,1,1,5.967
179,5,619.443,321.674,120.998,130.003,1,1,5.967
179,6,563.878,522.115,135.002,130.572,1,1,5.967
180,4,558.669,46.951,145.997,148.003,1,1,6.000
180,5,619.328,312.775,120.998,130.003,1,1,6.000
180,6,563.699,511.596,135.002,128.988,1,1,6.000
181,4,557.030,32.119,145.997,148.003,1,1,6.033
181,5,619.226,303.876,120.998,130.003,1,1,6.033
181,6,563.520,504.331,135.002,127.404,1,1,6.033
182,4,557.568,29.290,145.997,148.003,1,1,6.067
182,5,619.110,294.977,120.998,130.003,1,1,6.067
182,6,563.328,497.059,135.002,125.827,1,1,6.067
183,4,558.118,21.463,145.997,148.003,1,1,6.100
183,5,618.995,281.081,120.998,130.003,1,1,6.100
183,6,563.149,482.796,135.002,124.243,1,1,6.100
184,4,559.654,11.189,145.997,148.003,1,1,6.133
184,5,618.893,272.736,120.998,130.003,1,1,6.133
184,6,562.970,476.302,135.002,122.659,1,1,6.133
185,5,618.778,264.398,120.998,130.003,1,1,6.167
185,6,562.790,469.814,135.002,128.074,1,1,6.167
186,4,560.486,1.001,145.997,146.002,1,1,6.200
186,5,618.662,256.054,120.998,130.003,1,1,6.200
186,6,562.598,456.322,135.002,125.496,1,1,6.200
187,4,560.909,1.001,145.997,133.337,1,1,6.233
187,5,618.560,247.709,120.998,130.003,1,1,6.233
187,6,562.419,451.001,135.002,122.911,1,1,6.233
188,4,561.331,1.001,145.997,136.267,1,1,6.267
188,5,618.445,239.371,120.998,130.003,1,1,6.267
188,6,562.240,445.680,135.002,124.322,1,1,6.267
189,4,561.741,1.001,145.997,120.197,1,1,6.300
189,5,618.330,231.026,120.998,130.003,1,1,6.300
189,6,562.061,433.354,135.002,120.737,1,1,6.300
190,4,562.163,1.001,145.997,113.465,1,1,6.333
190,5,618.227,219.686,120.998,130.003,1,1,6.333
190,6,561.869,426.362,135.002,117.158,1,1,6.333
191,4,562.586,1.001,145.997,109.735,1,1,6.367
191,5,618.112,217.843,120.998,130.003,1,1,6.367
191,6,561.690,425.376,135.002,122.580,1,1,6.367
192,4,562.995,1.001,145.997,97.999,1,1,6.400
192,5,617.997,205.999,120.998,130.003,1,1,6.400
192,6,563.622,405.382,135.002,121.997,1,1,6.400
193,4,562.995,1.001,145.997,92.448,1,1,6.433
193,5,618.112,198.446,120.998,130.003,1,1,6.433
193,6,564.160,399.276,135.002,120.665,1,1,6.433
194,4,562.995,1.001,145.997,86.890,1,1,6.467
194,5,618.227,190.886,120.998,130.003,1,1,6.467
194,6,564.710,393.163,135.002,119.333,1,1,6.467
195,4,562.995,1.001,145.997,64.332,1,1,6.500
195,5,618.330,183.334,120.998,130.003,1,1,6.500
195,6,565.248,387.050,135.002,118.001,1,1,6.500
195,7,520.998,657.000,120.000,60.998,1,1,6.500
196,4,562.995,1.001,145.997,61.610,1,1,6.533
196,5,618.445,175.781,120.998,130.003,1,1,6.533
196,6,565.786,380.938,135.002,116.669,1,1,6.533
196,7,520.998,657.000,120.000,60.998,1,1,6.533
197,4,562.995,1.001,145.997,53.892,1,1,6.567
197,5,618.560,168.221,120.998,130.003,1,1,6.567
197,6,566.336,374.825,135.002,115.330,1,1,6.567
197,7,520.998,657.000,120.000,60.998,1,1,6.567
198,4,562.995,1.001,136.998,43.416,1,1,6.600
198,5,615.667,151.668,120.998,130.003,1,1,6.600
198,6,568.883,360.720,135.002,113.998,1,1,6.600
198,7,520.998,637.999,120.000,79.999,1,1,6.600
199,4,562.995,1.001,139.994,34.942,1,1,6.633
199,5,616.781,147.110,120.998,130.003,1,1,6.633
199,6,568.755,357.271,135.002,112.666,1,1,6.633
199,7,520.998,637.999,120.000,79.999,1,1,6.633
200,4,562.995,1.001,143.002,30.470,1,1,6.667
200,5,617.894,142.553,120.998,130.003,1,1,6.667
200,6,568.627,353.830,135.002,111.334,1,1,6.667
200,7,520.998,632.002,120.000,85.997,1,1,6.667
201,5,619.994,126.000,120.998,130.003,1,1,6.700
201,6,568.576,329.386,135.002,117.000,1,1,6.700
201,7,520.998,609.998,120.000,108.000,1,1,6.700
202,5,619.955,119.750,120.998,127.951,1,1,6.733
202,6,568.422,320.832,135.002,116.647,1,1,6.733
202,7,520.998,609.998,120.000,108.000,1,1,6.733
203,5,619.904,113.501,120.998,125.899,1,1,6.767
203,6,568.269,319.284,135.002,116.302,1,1,6.767
203,7,520.998,609.998,120.000,108.000,1,1,6.767
204,5,619.853,97.250,120.998,133.848,1,1,6.800
204,6,568.115,306.346,135.002,115.949,1,1,6.800
204,7,520.998,582.998,120.000,132.998,1,1,6.800
205,5,619.802,91.591,120.998,131.213,1,1,6.833
205,6,567.962,297.641,135.002,115.603,1,1,6.833
205,7,520.998,582.998,120.000,132.998,1,1,6.833
206,5,619.750,85.925,120.998,128.570,1,1,6.867
206,6,567.808,288.936,135.002,126.238,1,1,6.867
206,7,520.998,582.998,120.000,132.998,1,1,6.867
207,5,619.699,73.267,120.998,132.934,1,1,6.900
207,6,567.654,273.233,135.002,125.158,1,1,6.900
207,7,520.998,563.998,120.000,132.998,1,1,6.900
208,5,619.648,68.105,120.998,129.794,1,1,6.933
208,6,567.501,265.032,135.002,124.078,1,1,6.933
208,7,520.998,553.003,120.000,132.998,1,1,6.933
209,5,619.597,62.942,120.998,126.662,1,1,6.967
209,6,567.347,256.824,135.002,122.990,1,1,6.967
209,7,520.998,553.003,120.000,132.998,1,1,6.967
210,5,619.546,57.780,120.998,123.523,1,1,7.000
210,6,567.194,248.623,135.002,121.910,1,1,7.000
210,7,519.002,535.003,120.000,132.998,1,1,7.000
211,5,619.494,52.618,120.998,120.384,1,1,7.033
211,6,567.040,240.422,135.002,120.823,1,1,7.033
211,7,518.899,526.385,120.000,132.998,1,1,7.033
212,5,619.456,37.958,120.998,126.742,1,1,7.067
212,6,563.891,238.219,135.002,119.743,1,1,7.067
212,7,518.810,517.774,120.000,139.003,1,1,7.067
213,5,619.405,23.292,120.998,133.106,1,1,7.100
213,6,564.070,229.349,135.002,118.663,1,1,7.100
213,7,518.707,509.162,120.000,138.902,1,1,7.100
214,5,619.354,20.506,120.998,127.591,1,1,7.133
214,6,564.250,220.478,135.002,117.576,1,1,7.133
214,7,518.618,500.551,120.000,138.802,1,1,7.133
215,5,619.302,17.719,120.998,122.076,1,1,7.167
215,6,564.429,211.608,135.002,116.496,1,1,7.167
215,7,518.515,491.933,120.000,138.701,1,1,7.167
216,5,616.256,5.933,120.998,116.568,1,1,7.200
216,6,564.608,202.738,135.002,115.416,1,1,7.200
216,7,518.426,483.322,120.000,138.600,1,1,7.200
217,5,616.794,4.946,120.998,111.053,1,1,7.233
217,6,564.787,193.867,135.002,114.329,1,1,7.233
217,7,518.323,474.710,120.000,138.499,1,1,7.233
218,5,617.344,3.960,120.998,105.538,1,1,7.267
218,6,564.966,184.997,135.002,123.250,1,1,7.267
218,7,518.221,466.099,120.000,138.398,1,1,7.267
219,5,617.894,2.974,120.998,100.030,1,1,7.300
219,6,565.146,176.126,135.002,118.829,1,1,7.300
219,7,518.131,457.481,120.000,138.298,1,1,7.300
220,5,618.445,1.987,120.998,94.514,1,1,7.333
220,6,565.325,167.256,135.002,114.415,1,1,7.333
220,7,518.029,448.870,120.000,138.197,1,1,7.333
221,5,618.995,1.001,120.998,88.999,1,1,7.367
221,6,565.504,158.386,135.002,127.001,1,1,7.367
221,7,517.939,440.258,120.000,138.103,1,1,7.367
222,5,618.995,1.001,120.998,77.501,1,1,7.400
222,6,565.363,150.516,135.002,120.139,1,1,7.400
222,7,517.837,431.647,120.000,138.002,1,1,7.400
223,5,618.995,1.001,120.998,66.002,1,1,7.433
223,6,565.210,142.646,135.002,119.606,1,1,7.433
223,7,517.747,423.029,120.000,137.902,1,1,7.433
224,5,618.995,1.001,120.998,54.497,1,1,7.467
224,6,565.056,134.777,135.002,119.074,1,1,7.467
224,7,517.645,414.418,120.000,137.801,1,1,7.467
225,5,618.995,1.001,120.998,42.998,1,1,7.500
225,6,563.904,121.910,135.002,118.541,1,1,7.500
225,7,517.542,405.806,120.000,137.700,1,1,7.500
226,5,618.995,1.001,120.998,42.998,1,1,7.533
226,6,563.814,114.350,135.002,118.008,1,1,7.533
226,7,517.453,397.195,120.000,137.599,1,1,7.533
227,5,618.995,1.001,120.998,40.003,1,1,7.567
227,6,563.738,106.798,135.002,117.475,1,1,7.567
227,7,517.350,388.584,120.000,137.498,1,1,7.567
228,5,618.995,1.001,120.998,24.998,1,1,7.600
228,6,563.648,99.238,135.002,116.935,1,1,7.600
228,7,517.261,379.966,120.000,137.398,1,1,7.600
229,6,563.558,91.685,135.002,116.402,1,1,7.633
229,7,517.158,371.354,120.000,137.297,1,1,7.633
230,6,563.469,84.125,135.002,115.870,1,1,7.667
230,7,517.069,362.743,120.000,137.203,1,1,7.667
231,6,563.379,67.572,135.002,115.337,1,1,7.700
231,7,516.966,354.132,120.000,137.102,1,1,7.700
232,6,563.290,60.912,135.002,114.804,1,1,7.733
232,7,516.877,345.514,120.000,137.002,1,1,7.733
233,6,563.213,54.259,135.002,114.271,1,1,7.767
233,7,516.774,336.902,120.000,136.901,1,1,7.767
